EIN2,tier,text,human_label
EIN-23-6292750,LOW,"the sellersville church and cemetery corporation is a non profit corporation organized for the purpose of operating a cemetery for the benefit of two churches in sellersville, pennsylvania.",1
EIN-45-1266015,MEDIUM,"Support Maryland DNR in their offorts to preserve, promote and interpret the legacy of natural resource conservation in Maryland for the publics benefit",0
EIN-83-3422322,LOW,"sponsor, organize, operate and conduct the annual omaha police officers ball and other fundraising activities. these proceeds will be distributed to 501(c)(3) organizations.",0
EIN-27-2942180,HIGH,"unite to light, inc. is a not for profit organization whose goal is to provide high efficiency lighting to people around the world who do not have reliable electricity. the lights allow low-income families to save money by reducing their kerosene bill, and also reduce the health problems associated with kerosene. unite to light works with other nonprofit organizations in the foreign countries (ghana to start, with plans to expand to all of africa and possibly asia and south america) to distribute the lights, and collect money from the individuals receiving the lights to recover the cost of buying the lights from the manufacturer.",0
EIN-47-3647962,HIGH,"oop It Up Savannah is a community art program which grew to include a broad spectrum of art forms in weekly classes for children and adults throughout Savannah's urban neighborhoods. Through programs and partnerships with schools, community centers, museums and local businesses, Loop It Up Savannah brings art and creativity to 5000 young people to Savannah's youth in their artwork as well as other aspect of life.",0
EIN-45-4791979,LOW,"cancer awareness, support and advocacy",0
EIN-93-0938950,LOW,Vocational Training and Support,0
EIN-95-3133586,HIGH,Grandmother's House Children's Center delivers high quality early care and preschool for 35 students. This care prepares children to enter kindergarten and provides day care services for parents.,0
EIN-20-5306755,MEDIUM,"1. Support the El Toro High School Baseball program through volunteer personnel. 2. Support the coaching staff to handle off field duties, such as: Concession Stand Operations, Team Banquets, Fundraisers, Program Ad Sales, Printing and Selling of the Game Day Program, Team Travel and any other off field activities the El Toro High School Baseball Coaching Staff deems necessary.",0
EIN-82-1119696,MEDIUM,provide underserved youth with opportunities to play baseball and softball,0
EIN-82-4248565,MEDIUM,let love live's mission is to provide sanctuary to all animals in need.,0
EIN-46-4412399,HIGH,"mission statement or asian outreach services (aos), inc. ""we are a nonprofit organization providing temporary housing, foods, and job opportunities to unsettled needy asian immigrants in the u.s."" asian outreach services, inc.(aos) is a community based organization which seeks to enrich and help the newly arrived asian immigrants. aos is a licensed general contractor in the state of california and works with new immigrants to help them integrate into the community. many new immigrants are experienced and skilled in the construction fields, but they find difficulty finding employment due to cultural and language barriers. aos will utilize their experiences and skills to supply high quality workmanship in the community and help integrate them into the community and help provide them steady employment with better compensation. aos will receive donations from the local asian community, churches and individuals who have expressed interest in helping the newly arrived immigrants begin a prod",0
EIN-83-0933742,LOW,mutts of the midway is a 501(c)(3) not for profit dog rescue organization,0
EIN-74-2155970,LOW,christian facilities provider,1
EIN-23-7248497,HIGH,"to educate, support, and develop youth amature athletes",0
EIN-56-1084427,HIGH,provide primary health care services for mitchell county and surrounding areas of western north carolina. the clinic operates as a federally qualified health center.,0
EIN-27-4832098,LOW,Memorial foundation to provide scholarship money,0
EIN-82-2786697,HIGH,"The mission of the Bridges Graduate School of Cognitive Diversity in Education is to advance the quality and equity of education for all. We promote and support the extraordinary diversity in human learning, educating students, parents, educators, and field leaders by promoting strengths and talents, and we unlock individual potential through our graduate programs. To achieve these ends, we cultivate knowledge of diverse worldviews and perspectives, as well as the skills, insights, and imagination required of scholars who will assume leadership roles as instructional leaders, researchers, administrators, and policy makers.",0
EIN-20-0349557,HIGH,"knox garden court, inc. is an indiana not-for-profit and was organized to construct, own and operate a 24 unit apartment complex in knox, indiana known as knox garden court. it was organized pursuant to section 811 of the national affordable housing act as amended. the organization has executed the standard regulatory agreements with hud that govern the operations of the community with the federal housing administration (fha). in addition, the corporation has also entered into a project rental assistance contract (prac) with hud. the prac contract is a rent assistance program for low income families or persons as provided by section 8 of the national housing act.",0
EIN-31-1390103,MEDIUM,"to organize and supervise spring soccer, baseball/softball, and fall soccer for youth ages 5 to 16.",0
EIN-46-4190974,MEDIUM,To preach Theravada Buddhism To promote Satipatthana Vipassana Meditation or Insight Meditation To provide social services within adequate manpower and finance,1
EIN-83-1766468,HIGH,Keep youth menatlly and physically fit through structured sports program. Help develope advanced volleyball skills that may help them receive college grants or scholorships to receive a higher education.,0
EIN-47-3955325,HIGH,"promoting innovation that removes barriers to giving, givio charitable foundation equips, trains, and energizes new generations of donors to connect with the nonprofits that need us most. our mission is to transform the giving experience in order to benefit every person, nonprofit, and community in need of greater support. givio charitable sponsors three important programs. (i) future fundraisers of america engages young adults - ""gen g"" - teaching them to become the next generation of givers and fundraisers. (ii) our covid-19 survival program helps nonprofits to fundraise in today's modern, post-covid economy. (iii) our donor advised funds facilitate a ""give anywhere, any time, to any org"" experience in partnership with new and emerging charitable giving technology companies.",0
EIN-84-2034436,HIGH,We represent a community of people who are committed to relieving the pain and suffering of families and peers whose lives are impacted by a Mental Health Condition. The National Alliance on Mental Illness approach has been proven to work across the United States! National Alliance on Mental Illness White Mountains is an all member/volunteer organization.,0
EIN-11-3021909,MEDIUM,"mission is to positively impact the lives of all children and families by representing our members and supporting them with skills in advocacy, leadership and communication",0
EIN-84-3697642,HIGH,to provide structured programs for kids in the tahlequah area so that they have the opportunity to participate in youth sports,0
EIN-73-1397701,LOW,benefit people with mood disorder,0
EIN-46-1328841,HIGH,"to provide mentorship, develop life skills, promote academics and community service, and prepare young people for college with opportunities for scholarships. specifically, using the game of basketball to teach young people.",0
EIN-88-3224467,LOW,our mission is twofold: give those in need an opportunity to begin a career as a commercial airline pilot and educate young adults on the many opportunities the field of aviation has to offer.,0
EIN-31-1054486,MEDIUM,"The purposes for which the corporation is organized is to enhance the college recruitment, admission, retention, and graduation of tradtionally under-represented minority engineering students; to coordinate the efforts of public school districts, colleges, universities, minority action organizitions and industry in order to assure the greatest possible awareness of the needs and opportunities for ethnic minority students in engineering; and to engage in any activity incidental to the foregoing purposes for which a corporation may be organized under General Not fpr Profit Corporation Act of the State of Illinois; provided however the the corporation's purposes shall be exclusively charitable and educational within the meaning of Section 501(c)(3) of The Internal Revenue Code of 1986 (or the corresponding provision of any future United States Internal Revenue Law).",0
EIN-47-5471447,MEDIUM,Fund community service programs and provide scholarships,0
EIN-34-2048527,LOW,to inspire and empower parent leadership,0
EIN-30-0103296,LOW,to raise money for the sisters of charity 84 bed nursing home.,1
EIN-90-0528397,HIGH,to enhance the lives of others by giving back to the local community. the foundation builds upon the vision and values of 3 generations of the spinato's family by encouraging the highest standards of service and leadership for our local community.,0
EIN-45-5169633,HIGH,oak creek public library foundation is perpetual and will support the future financial needs of the library.,0
EIN-47-2301122,HIGH,"The Franklin Township Firefighters Assistance Fund's purpose is to assist firefighters who have been laid off from full time employment. Our mission is to aid those firefighters and their families in their time of need. Monetary donations, gathered from private donors, will be used by the families to assist them in paying expenses until permanent full time employment can be re-established.",0
EIN-92-3879996,LOW,helping families affected by cancer enjoy all-expense-paid healing time together,0
EIN-75-2044116,LOW,preaching and ministering the gospel of jesus christ,1
EIN-47-3382204,HIGH,"to provide support for children of homicide victims and victims of violent crimes by providing support in the form of sporting activities, peer mentoring, tutoring and therapy.",0
