EIN2,split,text,human_label
EIN-43-1229351,prompt_dev,"the eugene field house foundation preserves and maintains the oldest private residential historic house and property in downtown st. louis, along with an extensive collection of original field furnishings and artifacts. it provides the community a source of historic life in late 19th century st. louis, along with educating the community about the importance of the field family in st. louis history.",0
EIN-81-3499678,prompt_dev,"Olive Tree Arts Network is a youth arts organization that uses creative expression to promote cooperation, understanding and peace in our multifaith society. Olive Tree Arts Network visited eight schools in 2019-2020 school year and served 400 students. A staff of 16 teaching artists provide in-school arts programming to children from different faith backgrounds and encourage them to explore their commonalities.",0
EIN-68-0597127,prompt_dev,"provide a training resource network comprised of public and private organizations focused on the development and employment of the transit industry's workforce that is proficient in the standards, practices, and procedures for incumbent and new workers.",0
EIN-46-3270733,prompt_dev,"The schools we work with don't have the funds to provide their students with school supplies all year round. We provide our partner schools with clean uniforms, new backpacks, notebooks, pencils, art supplies, gym equipment and all other tools their students need to succeed.",0
EIN-27-0619116,prompt_dev,"provide courses and programs in environmental stewardship for students of evangelical christian colleges and universities, fosters academic leadership through forums",1
EIN-22-3530496,prompt_dev,"the mission of hackensack riverkeeper is to protect, preserve and restore the hackensack river watershed and its living resources. hackensack riverkeeper fights for clean water, open space preservation and public access to the river for both active and passive recreation. it accomplishes its mission by prosecuting polluters, participating in the administration of local and regional open space trust funds, educating the public through school and community based programs, and organizing a variety of eco-programs including cleanups, pontoon boat cruises, birding walks and canoe and kayak rentals in the meadowlands,over county park, and various events throughout the water shed.",0
EIN-27-1426170,prompt_dev,"The Bridge Between Inc is a nonprofit horse sanctuary. Our to fold mission is to rescue and rehabilitate abused, abandoned, and neglected horses, using these beautiful and spiritual animals in the pursuit of helping adults and children with physical and emotional difficulties. The rescued horses are brought back to health with the help of our volunteers and professionals. When the horses are healthy they begin working in our programs which helps in the healing process for both humans and animals. Ultimately through the unconditional love and compassion given to and taken from one another, both humans and animals begin to find a place in the world where they can become productive and healthy and are then able to give back to others.",0
EIN-59-2811456,prompt_dev,"to promote better understanding, appreciation, and conservation of the natural history, cultural history and natural environment of the st marks national wildlife refuge",0
EIN-45-4817136,prompt_dev,"Friends of Tenwek Inc was incorporated as a Public Charity to provide funds to help support the ministries of Tenwek Hospital, Bomet, Kenya. These ministries include the Tenwek Hospital, Tenwek Nursing School, Tenwek Chaplaincy School, Tenwek Community Health & Development, and specific missionary ministries.",1
EIN-04-3608956,prompt_dev,The mission of Smokefree SC is to support and amplify the work of tobacco prevention and control stakeholders throughout South Carolina.,0
EIN-47-4265339,prompt_dev,we are a non profit organization on a mission to bring mental health awareness to students and communities in minnesota.,0
EIN-52-1390561,prompt_dev,charles county freedom landing provides a range of services to assist adults with serious persistent emotional disorders.,0
EIN-27-0862779,prompt_dev,"to provide spiritual, emotional and financial support to families with children who have been diagnosed with oncology or hematology related diseases.",1
EIN-34-1427163,prompt_dev,this club is organized to financially assist and support the development and improvement of all athletic programs at mansfield st. peter's schools.,0
EIN-33-0970245,prompt_dev,"san diego cancer research institute is engaged in helping cancer patients gain quick access to state-of-the-art medical treatment, and to provide them with optimal physical, emotional, and spiritual guidance to challenge their illness.",0
EIN-13-0887555,prompt_dev,"the international association of jewish vocational services strengthens the capabilities and capacity of its member agencies to increase economic self-sufficiency, independence and build a productive work force of its constituent clients. iajvs provides its member organizations with technical assistance, research and information services, research private, corporate and governmental funding opportunities for its affiliates, grant opportunities, and national and international collaborations. iajvs provides opportunities for professional development through the development and sponsorship of annual conference, executive leadership forums, teleconferences, and train-the-trainer institutes.",1
EIN-46-4081439,prompt_dev,"professional association focused on the facilities maintenance and construction profession. provide members with access to network, learn new technologies and a place to see new products in our industry. we are a chapter of the pacific coast appa who are facilities directors in universities & colleges.",0
EIN-81-5222162,prompt_dev,security protection services for the Jewish community,1
EIN-87-2442066,prompt_dev,"FCI creates better access to the workforce for jobseekers with past convictions, yielding better outcomes for companies and communities. By centering our efforts on employer practices - generating new tools and resources and elevating research and best practices - we help drive inclusive growth.",0
EIN-46-3275283,prompt_dev,"providing support and services to adults and families to address dysfunctional behaviors preventing productive self-sufficient lives with a goal of addressing socio-economic needs in the community. path of life enterprises will provide employment, job training, entrepreneurial skills and training, educational training, employment/career coaching, and parolee reintegration programs. this corporation will also support and benefit another public benefit organization, path of life ministries (ein: 33- 0724945).",0
EIN-41-2126918,prompt_dev,"We believe it is our faith in the love of Jesus Christ that calls us to be a fountain of hope for our fellow man. Through our ministries and following the teachings of Jesus Christ, we strive to help feed the hungry, comfort the cold, and raise up the downtrodden.",1
EIN-87-1955103,prompt_dev,"Specifically to help the needs of the church and community by providing food, clothing and other community resources with the love of christ.",1
EIN-86-1096987,prompt_dev,"The Organization works in public housing communities primarily in Western Queens, NY to provide residents with tools and resources needed for personal and community improvement and revitalization, primarily focusing on achieving economic mobility, self sufficiency. Results are achieved through a combination of integrated programs in individual and community development.",0
